shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",11011,PASS,0,1245184,0.6440,0.3625,1.777
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",11100,PASS,0,1245184,0.6639,1.0831,0.613
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",11101,PASS,0,1245184,0.7391,0.3858,1.916
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",11110,PASS,0,1245184,0.6449,1.0754,0.600
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",11111,PASS,0,1245184,0.6559,0.3726,1.760
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00000,PASS,0,4980736,0.6098,0.6076,1.004
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00001,PASS,0,4980736,0.6137,0.6324,0.970
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00010,PASS,0,4980736,0.6081,0.6501,0.935
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00011,PASS,0,4980736,0.6070,0.6468,0.938
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00100,PASS,0,4980736,0.6202,1.4756,0.420
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00101,PASS,0,4980736,0.6114,1.4722,0.415
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00110,PASS,0,4980736,0.6108,1.5100,0.405
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",00111,PASS,0,4980736,0.6107,1.5129,0.404
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01000,PASS,0,4980736,0.6187,0.4579,1.351
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01001,PASS,0,4980736,0.6088,0.4579,1.329
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01010,PASS,0,4980736,0.6080,0.4707,1.292
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01011,PASS,0,4980736,0.6150,0.4707,1.307
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01100,PASS,0,4980736,0.6130,1.1504,0.533
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01101,PASS,0,4980736,0.6059,1.1380,0.532
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01110,PASS,0,4980736,0.6069,1.1757,0.516
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",01111,PASS,0,4980736,0.6112,1.1933,0.512
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10000,PASS,0,4980736,0.6156,0.5652,1.089
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10001,PASS,0,4980736,0.6156,0.5684,1.083
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10010,PASS,0,4980736,0.6204,0.5937,1.045
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10011,PASS,0,4980736,0.6169,0.5918,1.042
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10100,PASS,0,4980736,0.6251,1.4480,0.432
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10101,PASS,0,4980736,0.6103,1.4177,0.430
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10110,PASS,0,4980736,0.6092,1.4726,0.414
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",10111,PASS,0,4980736,0.6129,1.4747,0.416
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11000,PASS,0,4980736,0.6059,0.3534,1.714
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11001,PASS,0,4980736,0.6055,0.3532,1.714
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11010,PASS,0,4980736,0.6113,0.3662,1.670
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11011,PASS,0,4980736,0.6070,0.3661,1.658
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11100,PASS,0,4980736,0.6090,1.0208,0.597
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11101,PASS,0,4980736,0.6116,1.0150,0.603
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11110,PASS,0,4980736,0.6143,1.0722,0.573
appendix test shape,#4 B16 D128 H4 S128 L4,"B=16,S=128,D=128,H=4,FFN=128,L=4,causal=True",11111,PASS,0,4980736,0.6185,1.0849,0.570
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00000,PASS,0,39845888,2.4905,2.4806,1.004
appendix test shape,#5 B128 D128 H4 S128 L4,"B=128,S=128,D=128,H=4,FFN=128,L=4,causal=True",00001,PASS,0,39845888,2.4806,2.4785,1.001
